game_id,pid,player,pos,min,fgm_a,tpm_a,ftm_a,oreb,dreb,reb,ast,stl,blk,tos,pfs,plus_minus,pts
311226005,3006,Daniel  Gibson,SG,22,3-6,0-0,0-0,0,1,1,0,0,0,0,2,0,6
311226005,3231,Ramon  Sessions,PG,22,6-12,2-4,4-5,1,3,4,6,1,0,1,0,+2,18
311226005,4232,Alonzo  Gee,SF,28,5-7,1-2,4-5,2,1,3,3,3,0,2,2,-1,15
311226005,6474,Tristan  Thompson,PF,17,4-6,0-0,4-6,2,3,5,0,0,0,0,2,+3,12
311226005,4276,Luke  Harangody,PF,,,,,0,0,0,0,0,0,0,0,,0
311226005,4304,Samardo  Samuels,PF,,,,,0,0,0,0,0,0,0,0,,0
311226005,3984,Christian  Eyenga,SF,,,,,0,0,0,0,0,0,0,0,,0
311226011,1724,Tayshaun  Prince,SF,34,3-10,0-1,0-0,0,3,3,2,0,1,0,0,-7,6
311226011,3998,Jonas  Jerebko,PF,38,7-11,0-2,3-4,2,3,5,1,1,1,0,3,-6,17
311226011,4260,Greg  Monroe,PF,22,3-7,0-0,2-2,3,4,7,1,1,0,0,5,-2,8
311226011,2381,Ben  Gordon,SG,34,4-14,1-4,5-6,1,3,4,2,0,1,5,1,-11,14
311226011,3235,Rodney  Stuckey,SG,33,5-11,2-3,5-5,0,3,3,6,2,1,3,2,0,17
311226011,2775,Jason  Maxiell,PF,17,0-2,0-0,0-0,0,0,0,0,0,1,0,1,-5,0
311226011,2816,Will  Bynum,PG,13,1-5,1-2,3-4,1,2,3,3,0,0,2,4,-3,6
311226011,885,Ben Wallace,PF,20,1-3,0-0,0-0,2,5,7,1,0,3,1,1,-11,2
311226011,3976,Austin  Daye,SF,14,0-3,0-1,0-0,0,7,7,1,0,0,1,2,-5,0
311226011,6448,Brandon  Knight,PG,17,3-9,3-6,0-0,0,1,1,0,1,0,4,0,-10,9
311226011,2506,Damien  Wilkins,SG,,,,,0,0,0,0,0,0,0,0,,0
311226011,2792,Charlie  Villanueva,PF,,,,,0,0,0,0,0,0,0,0,,0
311226011,6455,Vernon Macklin,PF,,,,,0,0,0,0,0,0,0,0,,0
311226011,2177,David  West,PF,31,3-12,0-0,5-6,7,5,12,3,0,2,1,1,+14,11
311226011,2760,Danny  Granger,SF,35,6-18,2-4,2-4,1,3,4,3,2,1,2,1,+16,16
311226011,3436,Roy  Hibbert,C,33,6-11,0-0,4-5,4,10,14,2,0,3,1,4,+15,16
311226011,3973,Darren  Collison,PG,37,3-11,2-3,0-0,0,0,0,5,2,1,2,2,+11,8
311226011,4251,Paul  George,SF,29,3-8,2-3,4-4,1,6,7,2,1,1,2,5,+14,12
311226011,2008,Dahntay  Jones,SG,13,3-6,1-1,0-0,0,1,1,0,0,1,0,0,-4,7
311226011,3438,George  Hill,PG,24,2-7,0-4,0-0,0,1,1,4,2,0,1,3,-2,4
311226011,3991,Tyler  Hansbrough,PF,32,6-14,0-0,3-4,5,8,13,0,1,0,0,3,-5,15
311226011,4244,Lance  Stephenson,SG,6,0-0,0-0,2-2,0,1,1,1,1,0,1,1,+1,2
311226011,3041,Lou  Amundson,PF,,,,,0,0,0,0,0,0,0,0,,0
311226011,4010,A.J.  Price,PG,,,,,0,0,0,0,0,0,0,0,,0
311226019,1781,Luis  Scola,PF,38,8-18,0-0,3-4,3,4,7,3,0,0,1,3,-8,19
311226019,3968,Chase  Budinger,SF,20,1-5,0-3,1-1,0,3,3,2,0,0,1,0,+7,3
311226019,3994,Jordan  Hill,C,20,3-3,0-0,0-0,4,2,6,1,0,1,1,2,0,6
311226019,2394,Kevin  Martin,SG,33,1-10,0-6,2-2,0,0,0,1,1,0,0,1,-4,4
311226019,3012,Kyle  Lowry,PG,36,5-12,1-6,9-10,1,6,7,12,1,1,3,5,-4,20
311226019,991,Samuel  Dalembert,C,20,5-6,0-0,0-0,2,3,5,0,2,3,1,0,-4,10
311226019,3445,Courtney  Lee,SG,24,6-10,2-3,1-1,0,3,3,1,0,0,1,0,-8,15
311226019,4335,Jeff  Adrien,PF,7,0-0,0-0,0-0,0,1,1,0,0,0,1,4,-8,0
311226019,4019,Terrence  Williams,SG,27,5-12,2-5,1-2,0,6,6,2,0,0,0,0,-10,13
311226019,3423,Goran  Dragic,SG,12,2-4,1-2,0-0,1,2,3,4,0,0,0,0,-5,5
311226019,6462,Marcus  Morris,PF,4,0-2,0-2,0-0,0,0,0,0,0,0,0,2,-1,0
311226019,3985,Jonny  Flynn,PG,,,,,0,0,0,0,0,0,0,0,,0
311226019,6466,Chandler  Parsons,SF,,,,,0,0,0,0,0,0,0,0,,0
311226019,862,Hedo  Turkoglu,SF,35,10-14,3-4,0-0,1,5,6,4,0,0,3,1,+8,23
311226019,3412,Ryan  Anderson,PF,28,3-9,2-8,0-0,2,3,5,1,0,1,0,2,+8,8
311226019,2384,Dwight  Howard,PF,37,9-15,0-0,3-5,2,5,7,3,0,3,2,2,+4,21
311226019,1018,Jason  Richardson,SG,33,5-8,0-2,0-0,0,3,3,1,0,0,2,3,+6,10
311226019,2439,Jameer  Nelson,PG,30,1-6,0-1,0-0,0,3,3,6,1,0,2,1,-4,2
311226019,2377,Chris  Duhon,PG,18,2-4,1-1,0-0,0,1,1,2,0,0,1,2,+13,5
311226019,3024,J.J.  Redick,SG,28,8-12,3-4,1-1,0,2,2,2,0,0,0,1,+5,20
311226019,2793,Von Wafer,SG,8,1-4,0-2,0-0,0,4,4,0,0,0,0,0,-1,2
311226019,3200,Glen  Davis,PF,21,5-11,0-0,3-4,1,3,4,0,0,0,1,3,+4,13
